video_id,gloss_latency(s),text_latency(s),tts_latency(s),total_latency(s),pred_text,audio_path
sample_153,0.027,0.016,0.227,0.27,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_153.mp3
sample_154,0.026,0.014,0.223,0.264,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_154.mp3
sample_155,0.021,0.016,0.232,0.27,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_155.mp3
sample_156,0.041,0.015,0.295,0.351,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_156.mp3
sample_157,0.063,0.022,0.263,0.348,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_157.mp3
sample_158,0.017,0.014,0.203,0.234,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_158.mp3
sample_159,0.008,0.008,0.204,0.22,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_159.mp3
sample_160,0.014,0.02,0.244,0.28,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_160.mp3
sample_161,0.016,0.011,0.217,0.249,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_161.mp3
sample_162,0.048,0.015,0.229,0.292,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_162.mp3
sample_163,0.012,0.016,0.216,0.244,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_163.mp3
sample_164,0.007,0.009,0.214,0.23,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_164.mp3
sample_165,0.016,0.016,0.245,0.278,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_165.mp3
sample_166,0.033,0.017,0.248,0.3,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_166.mp3
sample_167,0.024,0.016,0.256,0.296,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_167.mp3
sample_168,0.025,0.014,0.22,0.259,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_168.mp3
sample_169,0.023,0.01,0.215,0.248,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_169.mp3
sample_170,0.024,0.033,0.456,0.515,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_170.mp3
sample_171,0.066,0.021,0.235,0.321,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_171.mp3
sample_172,0.019,0.012,0.234,0.265,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_172.mp3
sample_173,0.034,0.012,0.225,0.271,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_173.mp3
sample_174,0.027,0.017,0.238,0.284,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_174.mp3
sample_175,0.039,0.013,0.231,0.283,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_175.mp3
sample_176,0.025,0.013,0.233,0.271,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_176.mp3
sample_177,0.011,0.016,0.231,0.258,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_177.mp3
sample_178,0.029,0.012,0.271,0.314,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_178.mp3
sample_179,0.039,0.016,0.257,0.311,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_179.mp3
sample_180,0.042,0.015,0.263,0.321,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_180.mp3
sample_181,0.031,0.016,0.221,0.268,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_181.mp3
sample_182,0.02,0.011,0.219,0.25,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_182.mp3
sample_183,0.029,0.029,0.43,0.488,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_183.mp3
sample_184,0.026,0.013,0.253,0.293,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_184.mp3
sample_185,0.014,0.027,0.429,0.47,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_185.mp3
sample_186,0.041,0.014,0.279,0.334,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_186.mp3
sample_187,0.05,0.01,0.236,0.296,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_187.mp3
sample_188,0.04,0.015,0.253,0.308,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_188.mp3
sample_189,0.03,0.027,0.427,0.485,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_189.mp3
sample_190,0.041,0.013,0.209,0.263,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_190.mp3
sample_191,0.02,0.021,0.247,0.288,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_191.mp3
sample_192,0.048,0.013,0.225,0.287,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_192.mp3
sample_193,0.049,0.028,0.474,0.552,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_193.mp3
sample_194,0.052,0.012,0.245,0.309,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_194.mp3
sample_195,0.039,0.03,0.466,0.535,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_195.mp3
sample_196,0.057,0.04,0.918,1.015,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir noch auch noch am wärmsten haben wir haben wir auch noch auch auch am wärmsten haben wir auch auch im norden haben wir auch auch im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_196.mp3
sample_197,0.031,0.016,0.275,0.322,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_197.mp3
sample_198,0.032,0.014,0.214,0.261,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_198.mp3
sample_199,0.044,0.017,0.225,0.287,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_199.mp3
sample_200,0.036,0.022,0.418,0.478,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_200.mp3
sample_201,0.027,0.01,0.217,0.254,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_201.mp3
sample_202,0.021,0.014,0.222,0.257,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_202.mp3
sample_203,0.028,0.054,0.736,0.818,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir noch auch noch am wärmsten haben wir haben wir auch noch auch auch am wärmsten haben wir auch auch im norden haben wir auch auch im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_203.mp3
sample_205,0.022,0.011,0.206,0.24,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_205.mp3
sample_206,0.032,0.018,0.248,0.299,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_206.mp3
sample_207,0.057,0.047,0.987,1.092,aber sind wir auch am am haben wir auch im norden haben wir haben noch noch am haben wir auch auch im norden haben wir auch auch noch haben wir auch noch nicht auch auch noch nicht haben wir auch noch nicht auch auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_207.mp3
sample_208,0.03,0.021,0.217,0.267,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_208.mp3
sample_209,0.026,0.012,0.246,0.285,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_209.mp3
sample_210,0.041,0.012,0.216,0.269,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_210.mp3
sample_211,0.012,0.024,0.479,0.515,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_211.mp3
sample_212,0.035,0.013,0.209,0.257,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_212.mp3
sample_213,0.006,0.012,0.216,0.234,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_213.mp3
sample_214,0.029,0.017,0.375,0.422,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_214.mp3
sample_215,0.046,0.015,0.211,0.273,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_215.mp3
sample_216,0.006,0.006,0.268,0.28,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_216.mp3
sample_217,0.028,0.021,0.329,0.378,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_217.mp3
sample_218,0.028,0.015,0.237,0.28,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_218.mp3
sample_219,0.032,0.029,0.445,0.508,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_219.mp3
sample_220,0.054,0.029,0.479,0.562,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_220.mp3
sample_221,0.042,0.011,0.241,0.294,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_221.mp3
sample_222,0.029,0.009,0.215,0.252,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_222.mp3
sample_223,0.015,0.014,0.224,0.254,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_223.mp3
sample_224,0.033,0.021,0.247,0.302,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_224.mp3
sample_225,0.041,0.034,0.477,0.553,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_225.mp3
sample_226,0.029,0.016,0.21,0.255,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_226.mp3
sample_227,0.042,0.016,0.219,0.277,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_227.mp3
sample_228,0.02,0.013,0.216,0.25,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_228.mp3
sample_229,0.012,0.015,0.205,0.232,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_229.mp3
sample_230,0.032,0.017,0.259,0.308,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_230.mp3
sample_231,0.028,0.013,0.207,0.248,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_231.mp3
sample_232,0.033,0.016,0.246,0.296,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_232.mp3
sample_233,0.023,0.013,0.214,0.251,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_233.mp3
sample_234,0.036,0.029,0.526,0.593,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_234.mp3
sample_235,0.053,0.009,0.275,0.337,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_235.mp3
sample_236,0.043,0.023,0.271,0.337,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_236.mp3
sample_237,0.021,0.013,0.227,0.262,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_237.mp3
sample_238,0.039,0.012,0.207,0.258,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_238.mp3
sample_239,0.049,0.021,0.25,0.32,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_239.mp3
sample_240,0.03,0.042,0.47,0.542,aber auch tagsüber haben wir auch am am wärmsten im norden haben wir haben wir haben wir noch noch am haben wir haben wir auch noch auch auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_240.mp3
sample_241,0.062,0.026,0.491,0.579,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_241.mp3
sample_242,0.036,0.015,0.23,0.28,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_242.mp3
sample_243,0.021,0.013,0.303,0.337,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_243.mp3
sample_244,0.051,0.016,0.251,0.318,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_244.mp3
sample_245,0.016,0.014,0.2,0.23,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_245.mp3
sample_246,0.036,0.029,0.627,0.692,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_246.mp3
sample_247,0.076,0.02,0.418,0.516,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_247.mp3
sample_248,0.067,0.015,0.218,0.301,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_248.mp3
sample_249,0.027,0.025,0.493,0.547,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_249.mp3
sample_250,0.04,0.012,0.21,0.263,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_250.mp3
sample_251,0.019,0.012,0.218,0.249,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_251.mp3
sample_252,0.096,0.038,1.023,1.157,aber am haben wir auch am am haben wir haben wir noch im norden haben wir haben wir noch noch auch auch am haben wir haben wir noch auch noch am wärmsten haben wir auch noch nicht auch auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_252.mp3
sample_253,0.049,0.019,0.504,0.573,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_253.mp3
sample_254,0.041,0.015,0.216,0.272,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_254.mp3
sample_255,0.03,0.016,0.232,0.279,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_255.mp3
sample_256,0.022,0.011,0.21,0.243,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_256.mp3
sample_257,0.02,0.033,0.599,0.652,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_257.mp3
sample_258,0.067,0.015,0.25,0.333,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_258.mp3
sample_259,0.053,0.014,0.214,0.282,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_259.mp3
sample_260,0.027,0.018,0.252,0.297,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_260.mp3
sample_261,0.038,0.012,0.224,0.275,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_261.mp3
sample_262,0.044,0.027,0.456,0.526,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_262.mp3
sample_263,0.036,0.016,0.211,0.263,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_263.mp3
sample_264,0.023,0.023,0.256,0.304,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_264.mp3
sample_265,0.054,0.013,0.24,0.307,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_265.mp3
sample_266,0.032,0.016,0.212,0.26,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_266.mp3
sample_267,0.013,0.013,0.224,0.25,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_267.mp3
sample_268,0.011,0.013,0.204,0.228,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_268.mp3
sample_269,0.03,0.026,0.69,0.747,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_269.mp3
sample_270,0.043,0.023,0.233,0.298,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_270.mp3
sample_271,0.019,0.012,0.219,0.25,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_271.mp3
sample_272,0.025,0.015,0.238,0.278,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_272.mp3
sample_273,0.042,0.031,0.512,0.585,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_273.mp3
sample_274,0.05,0.017,0.242,0.308,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_274.mp3
sample_275,0.04,0.017,0.245,0.304,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_275.mp3
sample_276,0.027,0.01,0.21,0.247,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_276.mp3
sample_277,0.05,0.03,0.479,0.559,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_277.mp3
sample_278,0.028,0.022,0.235,0.285,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_278.mp3
sample_279,0.035,0.013,0.235,0.283,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_279.mp3
sample_280,0.021,0.015,0.211,0.248,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_280.mp3
sample_281,0.018,0.024,0.454,0.496,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_281.mp3
sample_282,0.033,0.029,0.445,0.507,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_282.mp3
sample_283,0.046,0.028,0.451,0.525,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_283.mp3
sample_284,0.029,0.017,0.217,0.262,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_284.mp3
sample_285,0.037,0.022,0.485,0.545,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_285.mp3
sample_286,0.053,0.02,0.257,0.33,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_286.mp3
sample_287,0.044,0.011,0.237,0.294,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_287.mp3
sample_288,0.033,0.039,0.518,0.591,aber auch tagsüber haben wir auch am am wärmsten im norden haben wir haben wir haben wir noch noch am haben wir haben wir auch noch auch auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_288.mp3
sample_289,0.049,0.015,0.238,0.303,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_289.mp3
sample_290,0.036,0.029,0.489,0.554,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_290.mp3
sample_291,0.055,0.011,0.212,0.279,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_291.mp3
sample_292,0.026,0.017,0.225,0.268,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_292.mp3
sample_293,0.023,0.017,0.227,0.267,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_293.mp3
sample_294,0.044,0.024,0.227,0.295,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_294.mp3
sample_295,0.02,0.009,0.269,0.3,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_295.mp3
sample_296,0.03,0.014,0.237,0.281,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_296.mp3
sample_297,0.016,0.015,0.238,0.269,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_297.mp3
sample_298,0.031,0.011,0.229,0.271,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_298.mp3
sample_299,0.021,0.008,0.234,0.263,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_299.mp3
sample_300,0.026,0.012,0.201,0.239,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_300.mp3
sample_301,0.018,0.013,0.223,0.255,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_301.mp3
sample_302,0.02,0.01,0.208,0.238,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_302.mp3
sample_303,0.024,0.033,0.467,0.525,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_303.mp3
sample_304,0.038,0.009,0.225,0.273,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_304.mp3
sample_305,0.039,0.017,0.229,0.287,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_305.mp3
sample_306,0.027,0.017,0.242,0.286,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_306.mp3
sample_307,0.039,0.012,0.224,0.276,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_307.mp3
